_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
1535,N/A,4,100,3,3,4,11/18/2019,2,4,3,4,4,5,3,3,4,3,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154449,72,5,24  SEELEY DR ,4,N/A,06,3,1959,2017
1536,4,4,40,4,4,4,11/18/2019,4,5,5,3,N/A,5,5,4,4,4,17,N/A,5,PRIVATE,Evaluation needs to be conducted in 3 years,4154453,85,5,18  SKIPTON CRT ,4,N/A,06,3,1958,2017
1537,3,3,57,3,4,4,12/18/2018,3,3,3,3,N/A,5,3,3,4,4,17,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154464,68,4,3700  KEELE ST ,4,N/A,07,3,1962,2017
1538,5,14,206,5,5,4,11/18/2019,4,4,4,4,4,5,5,5,4,4,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154816,89,5,60  CLIPPER RD ,4,5,17,5,1972,2017
1539,3,13,153,5,3,5,11/07/2019,3,3,4,5,4,5,5,4,5,5,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154819,83,5,225  VAN HORNE AVE ,5,N/A,17,3,1968,2017
1540,5,18,139,5,5,5,11/07/2019,4,5,4,5,5,5,5,4,5,5,20,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154827,94,5,175  SHAUGHNESSY BLVD ,4,4,17,5,1968,2017
1541,5,15,163,5,4,5,11/07/2019,4,4,4,5,N/A,5,5,5,4,4,18,5,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154829,89,5,30  ESTERBROOKE AVE ,4,N/A,17,4,1966,2017
1542,5,14,170,4,4,5,11/07/2019,5,4,5,4,5,5,4,4,5,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154831,91,5,2775  DON MILLS RD ,5,N/A,17,5,1968,2017
1543,5,18,275,5,3,5,11/07/2019,5,5,5,5,5,5,4,3,3,5,18,N/A,5,TCHC,Evaluation needs to be conducted in 3 years,4154847,92,5,1700  FINCH AVE E,5,N/A,17,5,1979,2017
1544,3,4,14,N/A,4,4,12/20/2018,4,4,4,4,N/A,5,4,4,3,3,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155352,76,5,17  RIVERVIEW HTS ,4,N/A,01,3,1953,2017
1545,N/A,11,128,4,3,3,10/29/2019,3,2,3,4,3,4,4,4,3,4,18,5,3,TCHC,Evaluation needs to be conducted in 2 years,4155353,69,4,1025  SCARLETT RD ,3,N/A,02,3,1994,2017
1546,5,13,123,4,4,5,10/28/2019,4,5,5,5,5,5,5,5,4,5,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155359,93,5,236  DIXON RD ,3,N/A,01,5,1963,2017
1547,4,11,122,5,4,5,10/28/2019,3,4,4,4,3,5,4,4,3,4,20,4,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155363,80,4,25  WIDDICOMBE HILL ,4,4,02,4,1968,2018
1548,3,7,45,3,3,3,10/29/2019,4,3,3,3,N/A,4,3,3,4,3,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155371,66,4,5294  DUNDAS ST W,3,N/A,03,4,1960,2017
1549,5,10,118,4,3,4,01/04/2019,4,4,4,3,4,5,5,3,5,4,19,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4155375,78,5,287  MARKLAND DR ,3,3,02,4,1965,2017
1550,3,13,149,5,5,5,10/29/2019,4,5,4,4,4,4,5,4,4,4,19,N/A,2,PRIVATE,Evaluation needs to be conducted in 3 years,4155376,82,4,265  MARKLAND DR ,4,4,02,4,1965,2017
1551,5,9,218,3,4,4,12/18/2018,4,3,4,2,3,3,4,3,4,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155746,72,3,11  CATFORD RD ,3,N/A,07,5,1968,2017
1552,N/A,3,45,N/A,3,4,03/01/2019,4,3,4,3,N/A,5,3,4,4,3,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155771,75,4,2495  LAKE SHORE BLVD W,4,4,03,4,1958,2017
1553,NA,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PRIVATE,Evaluation needs to be conducted in 2 years,4155950,74,NA,5  STAG HILL DR ,NA,NA,19,NA,1953,2018
1554,4,3,14,N/A,4,5,01/16/2018,4,4,4,3,N/A,5,4,4,4,N/A,15,N/A,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4156339,80,4,23  DURNFORD RD ,3,N/A,25,4,1992,2018
1555,5,4,56,5,4,5,11/06/2019,5,4,4,5,4,5,4,5,4,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156640,90,5,34  ST DENNIS DR ,4,N/A,16,5,1964,2017
1556,4,4,22,N/A,4,4,10/30/2019,4,4,3,3,N/A,5,4,4,3,4,16,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4156652,74,4,134  BERRY RD ,3,N/A,03,4,1954,2017
1557,4,20,419,3,3,3,11/28/2019,3,4,3,4,2,5,4,3,3,4,19,4,4,TCHC,Evaluation needs to be conducted in 2 years,4156664,68,4,4301  KINGSTON RD ,2,N/A,24,3,1972,2017
1558,5,6,56,5,4,4,11/04/2019,4,3,4,4,N/A,5,4,4,5,3,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152962,82,4,77  SPENCER AVE ,4,N/A,04,4,1952,2017
1559,3,4,28,N/A,3,3,02/15/2019,3,3,2,3,N/A,5,3,4,3,3,16,N/A,2,PRIVATE,Evaluation needs to be conducted in 1 year,4152966,64,4,124  TYNDALL AVE ,4,N/A,04,3,1956,2017
1560,5,18,120,3,4,4,11/04/2019,4,5,5,4,3,5,3,3,3,4,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152972,77,4,90  TYNDALL AVE ,3,3,04,4,1962,2017
1561,4,7,65,4,4,4,11/04/2019,4,4,4,4,4,5,5,4,4,4,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 3 years,4152974,82,5,40  TYNDALL AVE ,4,4,04,4,1965,2017
1562,3,10,80,3,3,3,03/06/2019,3,3,3,2,N/A,5,2,2,3,3,17,N/A,2,PRIVATE,Evaluation needs to be conducted in 1 year,4152992,58,3,100  JAMESON AVE ,3,N/A,04,3,1960,2018
1563,N/A,4,11,N/A,3,3,12/03/2019,4,4,4,4,N/A,5,5,4,3,4,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153446,81,5,80-82  PEMBROKE ST ,4,N/A,13,5,1920,2017
1564,4,23,375,4,4,4,01/07/2019,4,4,4,4,4,4,4,4,4,4,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153476,79,4,140  CARLTON ST ,4,N/A,13,4,1973,2017
1565,4,4,52,3,4,4,11/20/2019,3,3,2,4,N/A,3,3,4,4,4,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153967,69,4,24  SHALLMAR BLVD ,4,N/A,08,3,1960,2018
1566,4,9,53,4,4,3,01/09/2018,4,3,4,4,3,5,4,4,4,3,18,N/A,4,TCHC,Evaluation needs to be conducted in 2 years,4153968,76,4,145  ELM RIDGE DR ,3,N/A,08,4,1985,2017
1567,3,18,229,3,4,4,11/21/2019,3,3,3,3,3,5,3,3,4,3,19,N/A,2,PRIVATE,Evaluation needs to be conducted in 1 year,4153969,65,5,140  ELM RIDGE DR ,3,3,08,2,1967,2017
1568,N/A,3,18,N/A,3,3,02/25/2019,3,3,3,3,N/A,4,3,3,3,3,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 1 year,4153991,64,5,115  EGLINTON AVE W,3,3,12,3,1950,2017
1569,3,15,187,3,5,4,11/20/2019,4,5,5,4,4,5,4,4,3,4,20,4,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154483,79,4,120  SHELBORNE AVE ,3,4,08,5,1965,2017
1570,4,8,133,5,5,4,11/20/2019,4,5,5,5,4,5,4,4,5,4,19,4,4,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4154484,89,4,525  LAWRENCE AVE W,5,N/A,08,5,1992,2017
1571,4,7,47,3,4,4,03/14/2019,4,4,4,4,4,5,4,3,4,3,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154499,76,4,3690  BATHURST ST ,4,3,08,4,1964,2017
1572,5,9,132,5,5,5,11/05/2019,4,5,4,4,4,4,4,4,4,5,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154855,88,5,1540  VICTORIA PARK AVE ,4,N/A,16,4,1982,2017
1573,5,4,66,4,5,5,11/05/2019,5,5,5,5,N/A,5,3,5,4,5,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154865,94,5,7  BIGGIN CRT ,5,5,16,5,1951,2017
1574,3,4,59,3,4,3,11/05/2019,3,3,3,4,3,5,5,3,4,3,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154881,74,5,1710  VICTORIA PARK AVE ,5,N/A,16,4,1968,2017
1575,3,7,80,4,3,3,12/17/2018,3,3,3,5,N/A,5,4,3,3,4,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155397,72,5,440  RATHBURN RD ,3,N/A,02,4,1952,2018
1576,4,7,90,3,3,4,12/21/2018,4,3,4,4,N/A,5,4,4,3,4,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155401,74,4,535  THE EAST MALL  ,3,4,02,4,1969,2017
1577,4,11,126,2,2,3,12/27/2018,3,4,5,3,3,5,4,3,3,5,19,N/A,1,PRIVATE,Evaluation needs to be conducted in 2 years,4155406,66,5,675  MARTIN GROVE RD ,2,3,02,3,1972,2017
1578,5,11,81,4,5,5,10/28/2019,4,5,5,5,N/A,5,5,5,5,5,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155413,96,5,186  KINGSVIEW BLVD ,5,N/A,01,5,1965,2017
1579,4,5,62,4,5,5,10/28/2019,4,5,5,4,N/A,5,5,5,4,5,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155415,92,5,25  BRIDESBURG DR ,4,N/A,01,5,1965,2017
1580,5,17,233,4,4,4,10/28/2019,4,3,3,4,4,4,4,4,4,3,19,4,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155793,77,5,120  WIDDICOMBE HILL BLVD ,3,N/A,02,4,1973,2017
1581,NA,7,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PRIVATE,Evaluation needs to be conducted in 2 years,4153721,69,NA,700  KINGSTON RD ,NA,NA,19,NA,1971,2017
1582,5,11,263,5,4,4,11/07/2017,5,5,4,4,3,5,4,4,5,5,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155796,88,4,125  BONIS AVE ,4,N/A,22,5,1976,2017
1583,N/A,3,11,N/A,4,4,01/22/2019,4,4,4,4,N/A,5,4,2,3,2,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155804,70,2,1625  KINGSTON RD ,3,3,20,4,1950,2017
1584,3,6,66,3,4,3,01/22/2019,4,3,3,3,3,4,3,3,4,3,18,N/A,3,TCHC,Evaluation needs to be conducted in 2 years,4155979,66,4,47  GILDER DR ,2,N/A,21,4,1970,2017
1585,N/A,3,22,N/A,5,4,03/05/2019,4,4,4,4,N/A,5,5,4,4,4,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156357,85,5,314  THE KINGSWAY  ,4,N/A,02,4,1954,2017
1586,N/A,3,33,1,3,2,11/28/2019,3,2,2,2,N/A,4,4,3,3,3,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 1 year,4156362,57,5,1582  BATHURST ST ,2,N/A,12,4,1950,2017
1587,3,18,142,4,4,4,11/20/2019,4,3,3,3,3,4,3,4,4,3,20,4,1,PRIVATE,Evaluation needs to be conducted in 2 years,4156365,68,4,141  LYON CRT ,4,3,08,3,1967,2017
1588,N/A,10,150,5,5,4,11/06/2019,4,4,4,4,5,5,4,4,4,4,17,N/A,3,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4156371,84,5,10  MAPLE LEAF DR ,3,N/A,05,4,1992,2017
1589,N/A,8,128,2,5,5,01/12/2018,4,4,4,4,4,5,4,5,4,4,18,4,4,TCHC,Evaluation needs to be conducted in 3 years,4156712,83,5,585  KING ST E,4,N/A,13,4,2014,2017
1590,1,4,17,N/A,2,2,01/11/2019,1,3,2,3,N/A,5,3,2,2,2,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 1 year,4156719,53,5,359  DAVENPORT RD ,3,N/A,11,2,1900,2017
1591,3,6,55,4,4,4,01/03/2019,4,4,4,4,N/A,5,1,3,4,3,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4156720,72,4,327  DIXON RD ,3,N/A,02,3,1962,2017
1592,N/A,4,87,4,3,4,01/02/2018,4,3,4,3,4,5,4,3,3,4,18,3,3,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4156726,72,5,40  OAK ST ,3,N/A,13,3,2012,2017
1593,N/A,3,41,N/A,3,3,01/21/2019,2,3,3,3,N/A,5,4,2,3,3,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4153005,60,3,1609  QUEEN ST W,2,N/A,04,3,1900,2017
1594,3,7,68,3,4,3,12/28/2018,3,4,3,3,N/A,5,2,4,4,3,18,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4153013,67,4,146  DOWLING AVE ,4,3,04,3,1973,2017
1595,4,11,62,4,4,4,11/04/2019,4,4,4,3,N/A,5,3,3,4,3,18,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4153023,73,5,190  JAMESON AVE ,3,3,04,4,1963,2019
1596,4,12,100,4,4,5,01/10/2019,5,4,4,5,5,5,5,5,3,5,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153029,90,4,200  JAMESON AVE ,5,N/A,04,5,1962,2017
1597,4,12,96,4,4,4,01/04/2019,4,4,4,4,4,5,4,4,4,4,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153486,81,4,100  ALEXANDER ST ,4,4,13,4,1968,2017
1598,N/A,3,27,N/A,3,4,12/03/2019,4,4,4,5,N/A,5,3,4,3,3,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153506,75,4,83  GLOUCESTER ST ,3,3,13,4,1940,2017
1599,4,28,427,4,4,4,01/03/2019,4,4,4,4,4,4,4,4,4,4,20,4,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153508,79,4,100  WELLESLEY ST E,4,4,13,4,1968,2017
1600,3,18,107,4,4,4,12/17/2018,3,3,4,4,3,5,4,4,4,4,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153511,73,4,41  DUNDONALD ST ,3,3,13,3,1968,2017
1601,N/A,3,31,N/A,3,3,02/28/2019,3,3,3,3,N/A,5,4,3,3,4,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4154001,71,5,211  EGLINTON AVE W,4,N/A,12,4,1955,2017
1602,NA,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PRIVATE,Evaluation needs to be conducted in 2 years,4154006,72,NA,1112  AVENUE RD ,NA,NA,08,NA,1961,2017
1603,4,4,22,N/A,4,4,11/20/2019,4,5,3,4,N/A,5,4,4,4,4,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154007,84,5,1106  AVENUE RD ,4,5,08,4,1960,2017
1604,N/A,3,12,N/A,3,4,03/12/2019,4,4,3,3,N/A,5,4,3,3,3,16,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154014,70,3,20  ROSELAWN AVE ,4,4,08,4,1950,2017
1605,2,4,26,N/A,4,3,11/21/2019,4,3,3,4,N/A,5,3,3,3,3,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154016,68,5,132  CASTLEFIELD AVE ,3,3,08,4,1955,2017
1606,N/A,3,25,N/A,4,3,11/20/2019,4,4,4,5,N/A,5,3,3,4,3,15,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4154030,73,5,45  LORINDALE AVE ,3,N/A,08,3,1957,2017
1607,3,3,10,N/A,4,4,01/30/2019,3,3,3,3,N/A,5,3,5,4,4,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154506,74,5,10  WASDALE CRES ,4,3,08,4,1956,2017
1608,3,3,12,N/A,3,3,02/08/2019,3,3,3,3,N/A,5,3,4,3,4,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154515,68,4,52  NEPTUNE DR ,3,N/A,08,4,1960,2017
1609,3,3,10,N/A,4,4,02/22/2019,3,3,3,3,N/A,5,3,4,3,4,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154525,70,4,24  HOTSPUR RD ,4,N/A,08,3,1952,2017
1610,3,3,12,N/A,4,3,01/17/2019,4,4,4,4,N/A,5,2,4,5,4,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154535,78,5,112  RAJAH ST ,4,N/A,08,4,1957,2017
1611,4,3,11,N/A,3,3,02/27/2019,3,3,3,3,N/A,3,3,3,4,2,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4154540,64,4,67  WASDALE CRES ,3,N/A,08,4,1956,2017
1612,4,3,25,N/A,4,4,11/21/2019,4,4,4,5,N/A,5,3,4,4,4,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154544,80,4,45  WASDALE CRES ,4,N/A,08,4,1955,2017
1613,5,4,57,5,3,5,11/04/2019,5,5,3,5,5,5,3,3,5,5,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154896,89,5,60  UNDERHILL DR ,5,5,16,5,1961,2017
1614,4,7,72,5,4,5,01/30/2019,4,4,5,3,3,5,4,5,4,5,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154916,85,5,267  ROYWOOD DR ,4,4,16,4,1962,2017
1615,2,4,58,4,4,4,01/03/2018,3,3,3,2,3,4,4,3,3,3,18,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4154922,66,4,1254  YORK MILLS RD ,4,3,16,3,1961,2017
1616,5,10,91,5,3,5,10/31/2019,3,3,3,3,5,3,3,3,5,3,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154927,77,5,1210  YORK MILLS RD ,5,3,16,5,1963,2017
1617,4,3,13,N/A,4,4,10/28/2019,3,4,3,4,N/A,5,3,3,3,3,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155441,71,4,39  LEDUC DR ,4,N/A,01,3,1962,2017
1618,N/A,11,194,4,4,4,12/06/2018,4,4,3,3,5,5,3,3,5,4,19,5,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155446,80,5,2314  ISLINGTON AVE ,3,4,01,4,1977,2017
1619,4,19,343,5,3,4,10/28/2019,3,3,4,3,4,5,5,5,4,4,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155454,78,5,2757  KIPLING AVE ,3,N/A,01,3,1976,2018
1620,4,7,135,3,4,4,12/06/2018,4,5,4,4,4,5,5,4,4,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155456,83,5,1915  MARTIN GROVE RD ,4,N/A,01,4,1972,2017
1621,3,7,136,3,3,3,12/05/2018,4,3,3,3,3,5,5,3,3,3,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155458,68,4,1901  MARTIN GROVE RD ,3,4,01,4,1970,2017
1622,3,27,214,4,3,3,02/01/2019,3,3,3,4,4,5,4,3,5,4,20,3,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155993,74,5,2460  WESTON RD ,4,3,05,4,1973,2017
1623,4,4,48,N/A,3,4,11/21/2019,4,3,3,3,N/A,4,4,3,4,4,17,3,3,TCHC,Evaluation needs to be conducted in 2 years,4156734,71,4,145  NEPTUNE DR ,3,N/A,08,4,1974,2017
1624,N/A,4,47,4,4,4,03/14/2019,4,4,4,4,N/A,N/A,4,4,4,4,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4156736,80,4,135  EIGHTH ST ,4,N/A,03,4,1951,2017
1625,3,4,30,N/A,4,3,12/14/2017,4,3,4,3,N/A,5,4,3,4,3,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152631,69,3,40  CRAIGTON DR ,3,3,21,4,1955,2017
1626,5,4,30,N/A,3,3,11/21/2019,3,4,3,4,N/A,5,5,4,4,3,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152633,80,5,1  RANNOCK ST ,4,5,21,5,1955,2017
1627,4,4,54,N/A,4,5,11/21/2019,4,4,4,4,N/A,4,4,4,4,4,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152643,81,4,1689  VICTORIA PARK AVE ,4,4,21,4,1954,2017
1628,5,4,43,N/A,4,5,11/21/2019,4,4,4,3,N/A,5,4,4,3,4,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4152644,82,5,1735  VICTORIA PARK AVE ,4,4,21,4,1958,2017
1629,N/A,3,12,N/A,3,2,01/02/2019,3,3,4,3,N/A,5,3,3,3,N/A,13,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 1 year,4153042,62,3,1 A  ELM GROVE AVE ,2,N/A,04,3,1957,2017
1630,4,7,114,3,3,3,01/05/2018,3,3,3,4,3,5,4,3,3,4,19,3,3,TCHC,Evaluation needs to be conducted in 2 years,4153044,66,3,300  DUFFERIN ST ,3,N/A,04,3,1980,2017
1631,N/A,3,22,N/A,3,3,03/11/2019,3,3,3,3,N/A,5,3,4,4,3,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4153050,65,3,244  RONCESVALLES AVE ,3,N/A,04,3,1967,2017
1632,2,4,16,N/A,2,3,08/28/2019,2,3,2,3,N/A,N/A,2,2,2,N/A,15,3,3,PRIVATE,Evaluation needs to be conducted in 1 year,4153052,54,3,320  RONCESVALLES AVE ,3,N/A,04,3,1918,NA
1633,4,22,280,5,4,4,12/21/2018,4,4,4,5,4,5,4,4,4,4,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 3 years,4153066,82,4,55  TRILLER AVE ,4,4,04,4,1966,2017
1634,3,5,35,4,3,3,01/04/2018,4,3,3,3,3,4,3,3,4,3,18,N/A,3,TCHC,Evaluation needs to be conducted in 2 years,4153515,66,3,21  ST JOSEPH ST ,3,N/A,13,4,1994,2017
1635,4,4,22,4,4,4,03/12/2019,4,3,4,3,N/A,4,4,4,4,4,17,4,N/A,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153524,78,4,50  EARL ST ,4,N/A,13,4,1993,2017
1636,4,20,116,4,4,4,12/21/2018,4,4,4,4,4,5,3,4,4,4,20,4,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153526,80,4,10  HUNTLEY ST ,4,4,13,4,1960,2017
1637,N/A,3,48,N/A,5,4,12/03/2019,4,5,4,4,N/A,5,5,4,3,4,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 3 years,4153527,86,4,81  ISABELLA ST ,4,N/A,13,5,1928,2019
1638,4,11,212,4,4,4,12/20/2018,3,4,4,4,3,5,2,4,3,4,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153530,72,4,100  GLOUCESTER ST ,3,N/A,13,3,1960,2017
1639,4,27,419,2,4,4,03/12/2019,3,3,4,4,4,4,2,3,4,3,19,3,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153531,71,4,33  ISABELLA ST ,4,N/A,13,4,1975,2017
1640,4,14,101,4,4,5,02/22/2019,4,4,4,4,4,5,4,5,4,4,19,4,3,PRIVATE,Evaluation needs to be conducted in 3 years,4153533,82,4,59  ISABELLA ST ,4,N/A,13,4,1963,2017
1641,N/A,4,35,N/A,4,4,12/03/2019,3,4,4,3,N/A,5,4,4,4,4,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153534,76,4,608  CHURCH ST ,3,N/A,13,3,1910,2017
1642,N/A,3,35,N/A,3,4,12/03/2019,4,4,4,4,N/A,5,5,3,3,4,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153536,77,4,50  GLOUCESTER ST ,3,N/A,13,4,1928,2019
1643,5,10,84,4,4,4,11/27/2019,4,5,4,4,3,5,3,4,4,4,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153541,81,5,48  ISABELLA ST ,4,3,13,4,1960,2017
1644,N/A,4,24,N/A,5,4,11/27/2019,4,5,4,4,N/A,5,4,3,4,3,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 3 years,4153542,83,5,42  ISABELLA ST ,4,N/A,13,4,1955,2017
1645,4,14,82,5,5,4,12/03/2019,4,5,4,5,4,5,4,4,5,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153546,89,4,88  ISABELLA ST ,5,N/A,13,5,1968,2017
1646,NA,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PRIVATE,Evaluation needs to be conducted in 1 year,4153550,57,NA,628  CHURCH ST ,NA,NA,11,NA,1917,2018
1647,NA,7,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PRIVATE,Evaluation needs to be conducted in 2 years,4154034,67,NA,104  GOODWOOD PARK CRT ,NA,NA,19,NA,1960,2017
1648,3,7,164,3,3,4,01/09/2018,3,3,3,4,3,5,4,4,4,4,19,4,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154045,73,3,10  GOWER ST ,4,N/A,19,4,1994,2017
1649,4,3,10,N/A,3,3,01/15/2019,4,4,3,4,N/A,4,2,3,4,3,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154547,70,5,35  WASDALE CRES ,3,N/A,08,4,1955,2017
1650,4,3,10,N/A,4,4,03/05/2019,4,N/A,3,4,N/A,5,4,5,4,5,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154550,81,4,23  NEPTUNE DR ,4,5,08,3,1950,2017
1651,4,4,34,4,4,4,03/14/2019,4,4,3,4,3,5,3,3,4,3,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154552,72,3,3388  BATHURST ST ,3,3,08,4,1958,2017
1652,N/A,8,160,5,5,5,11/20/2019,4,4,4,3,4,5,5,4,4,4,18,3,4,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4154553,82,5,3270  BATHURST ST ,3,N/A,08,3,1984,2017
1653,N/A,4,26,N/A,4,4,11/20/2019,3,3,3,4,N/A,5,4,4,4,4,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154562,76,5,10  SARANAC BLVD ,4,N/A,08,3,1954,2017
